Date_Time,League,Home_Team,Score,Away_Team,Home_Score,Away_Score,Home_Dummy_Score,Away_Dummy_Score
Sa 18Sep 1920,English Div 1 (old),Man City,3-1,Arsenal,3,1,1,0
Sa 11Sep 1920,English Div 1 (old),Arsenal,2-1,Man City,2,1,1,0
Sa 17Jan 1920,English Div 1 (old),Man City,4-1,Arsenal,4,1,1,0
Sa 03Jan 1920,English Div 1 (old),Arsenal,2-2,Man City,2,2,1,1
Sa 08Mar 1913,English Div 1 (old),Man City,0-1,Arsenal,0,1,0,1
Sa 02Nov 1912,English Div 1 (old),Arsenal,0-4,Man City,0,4,0,1
Sa 02Mar 1912,English Div 1 (old),Arsenal,2-0,Man City,2,0,1,0
Sa 28Oct 1911,English Div 1 (old),Man City,3-3,Arsenal,3,3,1,1
Sa 04Mar 1911,English Div 1 (old),Man City,1-1,Arsenal,1,1,1,1
Sa 29Oct 1910,English Div 1 (old),Arsenal,0-1,Man City,0,1,0,1
Sa 13Feb 1909,English Div 1 (old),Man City,2-2,Arsenal,2,2,1,1
Sa 10Oct 1908,English Div 1 (old),Arsenal,3-0,Man City,3,0,1,0
Sa 18Jan 1908,English Div 1 (old),Man City,4-0,Arsenal,4,0,1,0
Sa 21Sep 1907,English Div 1 (old),Arsenal,2-1,Man City,2,1,1,0
Sa 29Dec 1906,English Div 1 (old),Arsenal,4-1,Man City,4,1,1,0
Sa 01Sep 1906,English Div 1 (old),Man City,1-4,Arsenal,1,4,0,1
Sa 07Apr 1906,English Div 1 (old),Man City,1-2,Arsenal,1,2,0,1
Sa 02Dec 1905,English Div 1 (old),Arsenal,2-0,Man City,2,0,1,0
Sa 08Apr 1905,English Div 1 (old),Man City,1-0,Arsenal,1,0,1,0
Sa 10Dec 1904,English Div 1 (old),Arsenal,1-0,Man City,1,0,1,0
Sa 20Feb 1904,English FA Cup,Arsenal,0-2,Man City,0,2,0,1
Sa 20Dec 1902,English Div 2 (old),Man City,4-1,Arsenal,4,1,1,0
Sa 01Nov 1902,English Div 2 (old),Arsenal,1-0,Man City,1,0,1,0
Mo 03Apr 1899,English Div 2 (old),Arsenal,0-1,Man City,0,1,0,1
Sa 01Oct 1898,English Div 2 (old),Man City,3-1,Arsenal,3,1,1,0
Sa 05Feb 1898,English Div 2 (old),Arsenal,2-2,Man City,2,2,1,1
Sa 25Sep 1897,English Div 2 (old),Man City,4-1,Arsenal,4,1,1,0
We 28Apr 1897,English Div 2 (old),Arsenal,1-2,Man City,1,2,0,1
Sa 05Sep 1896,English Div 2 (old),Man City,1-1,Arsenal,1,1,1,1
Sa 28Sep 1895,English Div 2 (old),Man City,1-0,Arsenal,1,0,1,0
Sa 07Sep 1895,English Div 2 (old),Arsenal,0-1,Man City,0,1,0,1
Sa 15Dec 1894,English Div 2 (old),Man City,4-1,Arsenal,4,1,1,0
Sa 29Sep 1894,English Div 2 (old),Arsenal,4-2,Man City,4,2,1,0
Sa 30Dec 1893,English Div 2 (old),Man City,0-1,Arsenal,0,1,0,1
Sa 11Nov 1893,English Div 2 (old),Arsenal,1-0,Man City,1,0,1,0
